pdbid,ligand_name
1bru,['1nb']
1brw,['ura']
1brx,['ret']
1bs1,['adp']
1bso,['brc']
1bt4,['plp']
1bto,"['nad', 'ssb']"
1btw,['bly']
1btx,['0ay']
1bty,['ben']
1bu4,['2gp']
1bu5,['rbf']
1buc,['caa']
1bup,['adp']
1bv7,['xv6']
1bv9,['xv6']
1bvc,['bla']
1bvd,['bla']
1bvy,['fmn']
1bwa,['xv6']
1bwb,['146']
1bwc,"['aj3', 'fad']"
1bwk,['fmn']
1bws,['ndp']
1bx0,['fad']
1bx1,['fad']
1bx3,['plp']
1bx4,['adn']
1bxg,"['hci', 'nad']"
1bxk,['nad']
1bxm,['erg']
1bxq,['pp8']
1bxs,['nad']
1byq,['adp']
1byu,['gdp']
1bzj,['pic']
1bzl,"['fad', 'gcg']"
1bzm,['mzm']
1bzs,"['bsi', 'epe']"
1bzy,"['imu', 'pop']"
1c0f,['atp']
1c0g,['atp']
1c0k,['fad']
1c0l,"['fad', 'fla']"
1c14,"['nad', 'tcl']"
1c1c,['612']
1c1d,['nad']
1c1e,['enh']
1c1n,['bam']
1c1q,['bai']
1c1r,['bai']
1c1t,['bab']
1c1u,['bai']
1c1v,['bab']
1c1w,['bah']
1c1x,['nad']
1c1y,['gtp']
1c23,['mph']
1c24,['mpj']
1c27,['nlp']
1c29,"['he1', 'plp']"
1c2d,['bak']
1c2e,['bak']
1c2h,['bak']
1c2i,['bak']
1c2j,['bak']
1c2k,['abi']
1c3e,"['gar', 'nhr']"
1c3q,['tze']
1c3v,"['ndp', 'pdc']"
1c3w,['ret']
1c3x,['8ig']
1c4u,['ih1']
1c4v,['ih2']
1c50,['plp']
1c5i,['dfx']
1c5n,['esi']
1c5o,['bam']
1c5p,['bam']
1c5q,['esi']
1c5r,['esi']
1c5s,['esx']
1c5t,['esp']
1c5u,['esp']
1c5z,['bam']
1c6x,['3in']
1c6y,['mk1']
1c6z,['roc']
1c70,['l75']
1c7e,['fmn']
1c7f,['fmn']
1c7s,['cbs']
1c80,['gtp']
1c81,['fdq']
1c84,['761']
1c86,['opa']
1c87,['opa']
1c88,['ota']
1c8k,"['cpb', 'plp']"
1c8l,"['cff', 'plp']"
1c8r,['ret']
1c8s,['ret']
1c8u,['lda']
1c8v,"['he1', 'plp']"
1c96,['flc']
1c9c,['pp3']
1c9d,"['hf1', 'plp']"
1c9k,"['5gp', 'pop']"
1c9u,['pqq']
1c9w,['nap']
1c9y,"['nva', 'cp']"
1ca7,['eno']
1caq,['dps']
1cb7,['tar']
1cbf,['sah']
1cbk,['roi']
1cbo,['fad']
1cbq,['re9']
1cc2,['fad']
1cc4,"['fad', 'phb']"
1cc6,"['fad', 'phb']"
1cci,['dmi']
1ccw,"['cnc', 'tar']"
1cd2,"['fol', 'nap']"
1cde,"['dzf', 'gar']"
1cdk,['anp']
1ce5,['ben']
1ceb,['amh']
1cf2,['nap']
1cf3,['fad']
1cfv,['e3g']
1cg0,"['gdp', 'hda', 'imo']"
1cg1,"['gdp', 'hda', 'imo']"
1cg3,"['gdp', 'hda', 'imo']"
1cg4,"['gdp', 'imo']"
1cg6,['mta']
1cgh,['pph']
1cgk,['nar']
1cgl,"['abu', 'phq']"
1cgz,['stl']
1ch0,['2gp']
1chm,['cms']
1chw,['hxc']
1ci9,['dfp']
1cil,['ets']
1cim,['pts']
1cin,['mts']
1cip,['gnp']
1ciz,['dps']
1cj3,"['fad', 'phb']"
1cj4,"['fad', 'phb']"
1cjb,"['irp', 'pop']"
1cjc,['fad']
1ck6,['sha']
1ckm,['gtp']
1ckn,['gtp']
1cl0,['fad']
1cl2,['ppg']
1clu,['dbg']
1cm0,['coa']
1cm8,['anp']
1cmc,['sam']
1cml,"['mlc', 'pin']"
1cmp,['dmi']
1cnq,['f6p']
1cnw,['eg1']
1cnx,['eg2']
1com,['pre']
1coz,['ctp']
1cpc,['cyc']
1cq7,['py5']
1cq8,['py6']
1cqs,['equ']
1cqx,"['dgg', 'fad']"
1cr5,['nen']
1crb,['rtl']
1cru,['pqq']
1cs4,"['101', 'fok', 'gsp', 'pop']"
1csc,['lmr']
1csh,['oaa']
1csi,['oaa']
1csn,['atp']
1csr,['oaa']
1css,['oaa']
1ct1,['sia']
1ct5,['plp']
1ct8,['taa']
1ct9,['amp']
1ctq,['gnp']
1ctu,['zeb']
1cul,"['103', '3po', 'fok', 'gsp']"
1cv8,['e64']
1cvu,['acd']
1cvw,['ans']
1cw2,"['hsp', 'plp']"
1cw4,['akg']
1cwq,['ret']
1cwu,"['nad', 'tdb']"
1cx4,['cmp']
1cx9,"['nhp', 'plp']"
1cxv,['cbp']
1cxz,['gsp']
1cy1,"['thp', 'tmp']"
1cy2,['tmp']
1cy6,['t3p']
1cy7,['tmp']
1cy8,['t3p']
1cyd,['nap']
1czc,"['gua', 'plp']"
1cze,"['plp', 'sin']"
1czh,['fmn']
1czk,['fmn']
1czl,['fmn']
1czm,['aas']
1czn,['fmn']
1czo,['fmn']
1czr,['fmn']
1czu,['fmn']
1d03,['fmn']
1d04,['fmn']
1d0c,['ine']
1d0m,['blg']
1d0o,['ine']
1d0s,['dmd']
1d0v,"['nio', 'rbz']"
1d0y,['onp']
1d0z,['pnq']
1d1a,['dae']
1d1b,['daq']
1d1c,['nmq']
1d1j,['pg6']
1d1q,['4np']
1d1s,['nad']
1d1t,['nad']
1d1v,['ptu']
1d1x,['4bt']
1d1y,['3bt']
1d2e,['gdp']
1d2f,['plp']
1d2n,['anp']
1d2s,['dht']
1d2z,['epe']
1d3d,['bzt']
1d3p,['bt3']
1d4a,['fad']
1d4d,"['fad', 'sin']"
1d4h,['beh']
1d4i,['beg']
1d4j,['msc']
1d4k,['pi8']
1d4l,['pi9']
1d4o,['nap']
1d4p,['bpp']
1d4s,['tpv']
1d4x,['atp']
1d4y,['tpv']
1d5c,['gdp']
1d5r,['tla']
1d6f,['b3p']
1d6h,['coa']
1d6j,['tla']
1d6s,['plp']
1d6u,['hy1']
1d6v,['hop']
1d6w,"['aim', 'hmm', 'sml']"
1d6y,['hy1']
1d6z,['hy1']
1d7a,['air']
1d7c,['1pg']
1d7d,['1pg']
1d7e,['hc4']
1d7l,"['phb', 'rfl']"
1d7o,"['nad', 'tcl']"
1d7r,['5pa']
1d7s,['dcs']
1d7u,['lcs']
1d7x,['spc']
1d7y,['fad']
1d8a,"['nad', 'tcl']"
1d8c,['sor']
1d8d,['fii']
1d8t,['gdp']
1d9i,"['chn', 'hmm', 'sml']"
1daa,['plp']
1dad,['adp']
1daf,['adp']
1dag,['acp']
1dah,['acp']
1daj,"['mot', 'ndp']"
1dak,['adp']
1dam,['adp']
1dap,['ndp']
1dar,['gdp']
1day,['gnp']
1db1,['vdx']
1db4,['8in']
1dbg,['ram']
1dbo,['ram']
1dbp,['rip']
1dbt,['u5p']
1dbv,['nad']
1dc6,['nad']
1dcn,['as1']
1dd4,['tbr']
1dd6,['mci']
1ddg,['fad']
1dds,['mtx']
1ddu,"['cb3', 'ddu']"
1de5,['rnt']
1de6,['rns']
1deh,['nad']
1dej,['atp']
1dek,['dgp']
1df7,"['mtx', 'ndp']"
1df8,['btn']
1dfg,"['nad', 'ndt']"
1dfh,"['nad', 'tdb']"
1dfi,['nad']
1dfo,"['ffo', 'plg']"
1dfp,['dfp']
1dg1,['gdp']
1dg7,"['ndp', 'wrb']"
1dg8,['ndp']
1dg9,['epe']
1dgg,['ndp']
1dgh,['ndp']
1dgm,['adn']
1dhi,['mtx']
1dhj,['mtx']
1dhr,['nad']
1dht,['dht']
1di8,['dtq']
1dia,['nap']
1dic,['dic']
1dif,['a85']
1dig,"['l37', 'nap']"
1dii,['fad']
1dim,['eqp']
1dio,['b12']
1dje,['plp']
1djl,['nap']
1djn,"['adp', 'fmn']"
1djo,['cab']
1djp,['do2']
1djq,"['adp', 'fmn']"
1dju,['plp']
1djx,['i3p']
1dkf,"['bms', 'ola']"
1dkq,['ihp']
1dku,['ap2']
1dl5,['sah']
1dl7,['nch']
1dlg,['amc']
1dli,"['nad', 'udx']"
1dlj,"['nai', 'uga']"
1dlk,['bgg']
1dlm,['lio']
1dlq,['lio']
1dlr,"['mxa', 'ndp']"
1dls,"['mtx', 'ndp']"
1dlv,['coa']
1dm2,['hmd']
1dm3,['aco']
1dm6,['ph3']
1dm7,['hrg']
1dm8,['tzc']
1dmh,"['lio', 'mct']"
1dmj,['ap4']
1dmk,['ap6']
1dmr,['pgd']
1dms,['pgd']
1dmt,['rdf']
1dmy,['azm']
1dna,"['cb3', 'ump']"
1dnc,['fad']
1dnp,['fad']
1dob,"['fad', 'phb']"
1doc,"['fad', 'phb']"
1dod,"['dob', 'fad']"
1doe,"['dob', 'fad']"
1doh,"['ndp', 'nid']"
1dor,['fmn']
1dpf,['gdp']
1dpm,['ebp']
1dpo,['ben']
1dq8,"['coa', 'dtt', 'mah']"
1dqa,"['coa', 'mah', 'nap']"
1dqe,['bom']
1dqn,['imu']
1dqp,['img']
1dqr,['6pg']
1dqx,['bmp']
1dr2,['tap']
1dr3,['tap']
1dr4,['nap']
1dr5,['nap']
1dr6,['nap']
1dr7,['nap']
1dra,['mtx']
1drb,['mtx']
1drf,['fol']
1drh,['nap']
1drj,['rip']
1drk,['rip']
1drt,"['akg', 'pcv']"
1dru,['nad']
1drv,['a3d']
1drw,['nhd']
1ds1,['akg']
1ds6,['gdp']
1ds7,['fmn']
1ds8,"['lda', 'u10']"
1dss,['nad']
1dtl,['bep']
1dtp,['apu']
1dty,['plp']
1dui,['dfp']
1duv,['psq']
1dv2,['atp']
1dv3,"['lda', 'u10']"
1dv6,"['lda', 'u10']"
1dvj,['up6']
1dvr,['atf']
1dwv,['har']
1dww,['har']
1dxo,"['dqn', 'fad']"
1dxr,"['mq9', 'mst', 'ns5']"
1dxy,"['coi', 'nad']"
1dy4,['snp']
1dyh,['dzf']
1dyi,['fol']
1dyj,['ddf']
1dyr,"['ndp', 'top']"
1dz6,['cam']
1dz8,['cam']
1dz9,['cam']
1dze,['ret']
1dzk,['prz']
1dzm,['bzm']
1dzp,['bzq']
1e0p,['ret']
1e0x,['x2f']
1e1k,"['fad', 'nap']"
1e1l,"['fad', 'nap']"
1e1m,"['fad', 'nap']"
1e1n,['fad']
1e1t,"['lad', 'pop']"
1e1v,['cmg']
1e1x,['nw1']
1e1y,"['cpb', 'plp']"
1e2d,['tmp']
1e2e,['tmp']
1e2g,"['tmp', 'tyd']"
1e2i,"['aps', 'arp']"
1e2j,['thm']
1e2k,['tmc']
1e2l,['tmc']
1e2m,['hpt']
1e2n,['rca']
1e2p,['ccv']
1e2q,['tmp']
1e3d,['fsx']
1e3e,['nad']
1e3g,['r18']
1e3i,"['cxf', 'nad']"
1e3l,['nad']
1e3r,['and']
1e3s,['nad']
1e4e,"['adp', 'phy']"
1e4i,['g2f']
1e4v,['ap5']
1e4y,['ap5']
1e5d,['fmn']
1e5e,['ppj']
1e5f,['plp']
1e5i,['akg']
1e5v,['pgd']
1e6a,['pop']
1e6d,"['lda', 'spn', 'u10']"
1e6e,['fad']
1e6q,['ntz']
1e6s,['gox']
1e6u,['nap']
1e6w,['nad']
1e6x,['lgc']
1e6z,['ngo']
1e7b,['hlt']
1e7c,"['hlt', 'myr']"
1e7e,['dka']
1e7f,['dao']
1e7g,['myr']
1e7h,['plm']
1e7q,['nap']
1e7r,['nap']
1e7s,['nap']
1e7v,['ly2']
1e7w,"['mtx', 'ndp']"
1e8c,"['api', 'uag']"
1e8g,"['fad', 'fcr']"
1e8v,['dan']
1e8w,['que']
1e8x,['atp']
1e8z,['stu']
1e9a,['z5a']
1e9b,['atm']
1e9c,['tmp']
1e9d,['atm']
1e9e,['tmp']
1e9f,['tmp']
1e9h,['inr']
1e9l,['gcs']
1e9x,['pim']
1ea1,['tpf']
1eag,"['cha', 'lyw', 'pss', 'vas']"
1eam,['sah']
1eau,['bdk']
1eax,['ben']
1eb1,['mmo']
1eb2,['bpo']
1eb3,['dsb']
1eb9,['hba']
1ebf,['nad']
1ebw,['bei']
1eby,['beb']
1ebz,['bec']
1ec0,['bed']
1ec1,['bee']
1ec2,['bej']
1ec3,['ms3']
1ec8,['glr']
1ec9,['xyh']
1ecc,"['onl', 'pcp']"
1ecf,['pin']
1ecg,"['onl', 'pin']"
1ecj,['amp']
1ecm,['tsa']
1ecq,['dxg']
1ecs,['pg4']
1ecv,['878']
1ed4,['ipu']
1ed5,['nrg']
1ed6,['ilo']
1edo,['nap']
1ee0,['caa']
1ee1,"['atp', 'dnd']"
1eeh,['uma']
1eex,['coy']
1efc,['gdp']
1efh,['a3p']
1eft,['gnp']
1efy,['bzc']
1eg2,['mta']
1eg5,['plp']
1egh,['pga']
1egm,['cnc']
1egv,['coy']
1egy,['9ap']
1ehi,"['adp', 'phy']"
1eix,['bmq']
1eiz,['sam']
1ej0,['sam']
1ej1,['m7g']
1ej2,['nad']
1ej3,['czh']
1ej4,['m7g']
1ejb,['inj']
1eje,['fmn']
1ejh,['m7g']
1ejj,['3pg']
1ek0,['gnp']
1ek4,['dao']
1ek5,['nad']
1ek6,"['nai', 'upg']"
1ekf,['plp']
1eko,"['i84', 'nap']"
1ekp,['plp']
1ekv,['plp']
1ekx,['pal']
1el3,['nap']
1el4,['ctz']
1el5,"['dmg', 'fad']"
1el7,['fad']
1el8,['fad']
1el9,['fad']
1elb,['iso']
1elc,['iso']
1ele,['ani']
1elf,['baf']
1elg,['baa']
1eli,"['fad', 'pyc']"
1elq,['plp']
1em6,"['cp4', 'nbg', 'plp']"
1emd,['nad']
1eno,['nad']
1enp,['nad']
1ent,['pta']
1enu,['apz']
1eny,['nad']
1eob,['dhb']
1eoj,['bbs']
1eol,['bbs']
1eos,['u2g']
1eou,['sms']
1eow,['u2g']
1ep1,"['fad', 'fmn']"
1ep2,"['fad', 'fmn', 'oro']"
1ep3,"['fad', 'fmn']"
1ep4,['s11']
1ep9,['cp']
1epb,['rea']
1epq,['xao']
1epr,['emr']
1eq9,['pms']
1eqa,"['mg7', 'sah']"
1eqj,['2pg']
1eqy,['atp']
1erb,['etr']
1erm,['bji']
1erq,['bjh']
1esb,['phq']
1esm,['coa']
1esq,['atp']
1est,['tos']
1esv,"['atp', 'lar']"
1esw,['acr']
1esz,['cpo']
1et0,['plp']
1etr,['mcp']
1ets,['pip']
1ett,"['pip', 'tos']"
1eu8,['tre']
1eup,['asd']
1ev4,['gts']
1ev6,['crs']
1eve,['e20']
1evi,"['2pc', 'fad']"
1evr,['rco']
1evy,['mys']
1ewa,['iol']
1ewf,['pc1']
1ewj,['blm']
1ewk,['epe']
1ewm,['rl2']
1ewo,['vsc']
1ewy,['fad']
1ex7,['5gp']
1ex8,['a4p']
1exa,['394']
1exb,['ndp']
1exm,['gnp']
1exp,['g2f']
1exv,"['700', 'nbg', 'plp']"
1exx,['961']
1ey3,['dak']
1eye,['pmm']
1eyj,['amp']
1eyk,['amp']
1eyr,['cdp']
1eys,"['crt', 'lda', 'mq8']"
1eyw,['ten']
1eyx,"['cyc', 'pub']"
1eyz,['anp']
1ez2,['dii']
1ez4,['nad']
1ezf,['in0']
1ezq,['rpr']
1f06,"['2np', 'ndp']"
1f07,['mpo']
1f0c,['dtt']
1f0l,['apu']
1f0s,['pr2']
1f0t,['pr1']
1f0u,['rpr']
1f0x,['fad']
1f0y,"['caa', 'nad']"
1f12,['3hc']
1f1b,['pal']
1f1v,['dhy']
1f28,"['f89', 'ump']"
1f2a,['vs2']
1f2b,['vs3']
1f2d,['plp']
1f2e,['gtt']
1f2u,['atp']
1f3b,['gbx']
1f3d,['tpm']
1f3e,['dpz']
1f3l,['sah']
1f3p,"['fad', 'nad']"
1f3t,['plp']
1f48,['adp']
1f4c,['tp2']
1f4d,['tp2']
1f4e,['tpr']
1f4f,['tp3']
1f4g,['tp4']
1f4p,['fmn']
1f4t,['pim']
1f4z,['ret']
1f50,['ret']
1f57,['dcy']
1f5a,['3at']
1f5f,['dht']
1f5k,['bam']
1f5n,['gnp']
1f5v,['fmn']
1f6b,['gdp']
1f6d,['udp']
1f73,['hmn']
1f74,['nay']
1f76,"['fmn', 'oro']"
1f7b,"['nau', 'nav']"
1f7p,['udp']
1f7q,['dut']
1f7s,['lda']
1f7t,['dtt']
1f8c,['4am']
1f8d,['9am']
1f8e,['49a']
1f8f,['nad']
1f8g,['nad']
1f8i,['sin']
1f8r,['fad']
1f8w,['fad']
1f8y,['5md']
1f91,['dka']
1f98,['hc4']
1f99,['cyc']
1f9a,['atp']
1f9g,['asc']
1f9h,"['apc', 'ph2']"
1f9i,['hc4']
1f9o,"['pih', 'ssg']"
1f9t,['adp']
1f9u,['adp']
1f9v,['adp']
1f9w,['adp']
1fa2,"['dom', 'dtt']"
1fbh,['afp']
1fbo,['glo']
1fby,['rea']
1fc0,"['nbg', 'plp']"
1fc4,"['akb', 'plp']"
1fcb,['fmn']
1fce,['mgl']
1fcj,['plp']
1fco,['mox']
1fcx,['184']
1fcy,['564']
1fcz,['156']
1fd0,['254']
1fd7,['ai1']
1fdj,"['13p', '2fp']"
1fdq,['hxa']
1fdr,['fad']
1fds,['est']
1fdt,"['est', 'nap']"
1fea,['fad']
1fec,['fad']
1fel,['fen']
1fem,['rea']
1ffq,['ami']
1fg3,"['hsa', 'plp']"
1fg7,['pmp']
1fgg,['udp']
1fgh,['ath']
1fgs,['pop']
1fgx,['u5p']
1fgy,['4ip']
1fh0,['bns']
1fh7,['xdn']
1fh8,['xif']
1fh9,['lox']
1fhd,['xim']
1fhv,['osb']
1fhw,['i5p']
1fhx,['4ip']
1fin,['atp']
1fiq,"['fad', 'mte', 'sal']"
1fiw,['pbz']
1fj6,['f6p']
1fj9,['amp']
1fjj,['epe']
1fjm,['add']
1fjs,['z34']
1fk1,['dao']
1fk2,['myr']
1fk3,['pam']
1fk4,['ste']
1fk5,['ola']
1fk6,['lnl']
1fk7,['rcl']
1fk8,['nad']
1fk9,['efz']
1fkw,['pur']
1fkx,['prh']
1fl2,['fad']
1fl3,['spb']
1fla,['fmn']
1fld,['fmn']
1flm,['fmn']
1fln,['fmn']
1flr,['flu']
1flv,['fmn']
1fm4,['dxc']
1fm7,['dfv']
1fm8,['ddc']
1fmc,"['cho', 'nad']"
1fmj,"['a3p', 'rtl']"
1fmw,['atp']
1fnb,['fad']
1fnc,"['a2p', 'fda']"
1fnn,['adp']
1fo3,['kif']
1foa,['ud1']
1foi,['14w']
1foj,"['7i2', '7ni']"
1fp1,"['hcc', 'sah']"
1fp4,['hca']
1fpc,['epi']
1fpd,"['ahg', 'amp']"
1fpe,"['ahg', 'amp']"
1fpf,"['ahg', 'amp']"
1fpg,"['ahg', 'amp']"
1fpi,['amp']
1fpu,['prc']
1fpx,['sam']
1fq5,['trj']
1fqc,['glo']
1fqd,['glo']
1fqg,['pnm']
1fqj,['gdp']
1fqk,['gdp']
1fr6,['azr']
1frb,"['nap', 'zst']"
1frn,['fad']
1fro,['gsb']
1frq,['fad']
1fs4,"['cra', 'plp']"
1fsg,"['9dg', 'prp']"
1fsl,['nio']
1fsw,['ctb']
1fsy,['105']
1fta,['amp']
1fth,['a3p']
1ftl,['dnq']
1ftm,['amq']
1ftn,['gdp']
1ftw,"['gl5', 'plp']"
1fty,"['gl7', 'plp']"
1fu4,"['gl9', 'plp']"
1fu7,"['cr1', 'plp']"
1fu8,"['cr6', 'plp']"
1fue,['fmn']
1fup,['mlt']
1fur,['mlt']
1fuy,"['fip', 'plp']"
1fv0,['9ar']
1fvg,['dtt']
1fvi,['amp']
1fvt,['106']
1fvx,['fmn']
1fw0,['kai']
1fw9,['phb']
1fwt,['e4p']
1fwu,['sga']
1fwv,['sga']
1fww,['a5p']
1fwy,['ud1']
1fx1,['fmn']
1fx2,['dtt']
1fx9,['mji']
1fxf,['mji']
1fxh,['pac']
1fxs,['nap']
1fxu,['gu7']
1fxv,['pnn']
1fy6,['a5p']
1fy7,['coa']
1fyd,['amp']
1fyf,['ssa']
1fzz,['681']
1g02,['2gp']
1g0c,['cbi']
1g0h,['ipd']
1g0i,['ins']
1g0n,"['ndp', 'phh']"
1g0o,"['ndp', 'pyq']"
1g16,['gdp']
1g17,['gnp']
1g1a,['nad']
1g1b,['phb']
1g1d,['fsb']
1g2a,['bb2']
1g2k,['nm1']
1g2l,['t87']
1g2n,['eph']
1g2o,['imh']
1g2w,['plp']
1g30,['t87']
1g32,['r11']
1g35,['ahf']
1g36,['r11']
1g37,['110']
1g3b,['108']
1g3c,['109']
1g3d,['108']
1g3e,['109']
1g3m,"['a3p', 'pcq']"
1g3q,['adp']
1g3u,['tmp']
1g41,['adp']
1g45,['fsb']
1g46,['f2b']
1g48,['f6b']
1g4j,['ffb']
1g4k,['hqq']
1g4o,['bsb']
1g4p,['fqp']
1g4s,"['pop', 'tps']"
1g4t,"['ftp', 'pop']"
1g4u,['gdp']
1g4v,['plp']
1g4x,['plp']
1g52,['f2b']
1g53,['f6b']
1g54,['ffb']
1g55,['sah']
1g5c,['epe']
1g5y,['rea']
1g60,['sam']
1g63,['fmn']
1g64,['atp']
1g69,"['icp', 'pop', 'tzp']"
1g6c,"['ifp', 'pop', 'tzp']"
1g6i,['dmj']
1g6k,['nad']
1g6n,['cmp']
1g6o,['adp']
1g6s,"['gpj', 's3p']"
1g6t,['s3p']
1g72,['pqq']
1g74,['ola']
1g7s,['gdp']
