pdbid	type	label	p_group_0.3	casf2016
1amw	np	4.537602002101044	1197	refined
1anf	kikd	5.455931955649724	2324	general
1ao0	kikd	4.958607314841775	735	general
1ao8	ic50	8.221848749616356	2764	general
1apb	kikd	5.82102305270683	1820	general
1apv	refined	9.0	1001	refined
1apw	kikd	8.0	1001	general
1aq1	np	8.154901959985743	2523	general
1aq7	np	6.045757490560675	2252	general
1aqc	kikd	5.341035157335565	1941	general
1aqi	kikd	5.619788758288394	800	general
1aqj	kikd	6.468521082957745	800	general
1at5	kikd	4.1938200260161125	1810	general
1at6	kikd	4.070581074285707	1810	general
1atl	refined	6.2839966563652006	1765	refined
1atr	refined	6.958607314841775	1289	refined
1au0	kikd	7.657577319177793	1500	general
1au2	kikd	7.886056647693163	1500	general
1auj	np	8.2518119729938	2252	general
1avd	kikd	15.0	2202	general
1avn	np	3.903089986991944	1104	refined
1avp	kikd	7.920818753952375	721	general
1aw1	kikd	1.0506099933550872	1210	general
1awf	np	6.013228265733755	2236	general
1awh	np	6.080921907623926	2236	general
1awi	kikd	4.045757490560675	2826	general
1ax0	refined	3.1272611725273314	1014	refined
1ax1	kikd	3.288192770958809	1014	general
1ax2	kikd	3.987162775294828	1014	general
1axr	np	3.2676062401770314	21	general
1axs	kikd	7.769551078621726	2079	general
1axz	kikd	3.1958605676646497	1014	general
1ayu	kikd	9.154901959985745	1500	general
1ayv	kikd	8.0	1500	general
1aze	kikd	4.221848749616356	2663	general
1azg	kikd	4.795880017344075	2660	general
1azl	kikd	8.619788758288394	1699	general
1azm	refined	6.096910013008056	1106	refined
1azx	kikd	9.397940008672036	936	general
1b05	refined	7.1249387366083	507	refined
1b0f	kikd	7.698970004336019	2226	general
1b0h	refined	6.698970004336019	507	refined
1b11	kikd	7.387216143280264	2450	general
1b1h	refined	7.031517051446065	507	refined
1b2h	refined	4.537602002101044	507	refined
1b2i	ic50	5.508638306165727	2346	general
1b2m	kikd	3.7328282715969854	485	general
1b32	refined	7.102372908709558	507	refined
1b38	np	6.5951662833800615	2523	refined
1b39	np	6.920818753952375	2523	general
1b3f	refined	6.886056647693163	507	refined
1b3g	refined	6.698970004336019	507	refined
1b3h	refined	6.207608310501746	507	refined
1b3l	refined	5.886056647693163	507	refined
1b40	refined	7.275724130399211	507	refined
1b42	kikd	4.009217308196862	361	general
1b46	refined	5.2839966563652006	507	refined
1b4d	np	4.806875401645538	21	general
1b4h	refined	5.46344155742847	507	refined
1b4z	refined	5.229147988357855	507	refined
1b51	refined	7.366531544420413	507	refined
1b52	refined	7.119186407719209	507	refined
1b55	refined	7.397940008672037	984	refined
1b56	kikd	6.095825631715837	2122	general
1b57	refined	8.0	1079	refined
1b58	refined	6.585026652029182	507	refined
1b5g	np	8.0	2236	general
1b5h	refined	6.013228265733755	507	refined
1b5i	refined	7.045757490560675	507	refined
1b5j	refined	7.431798275933005	507	refined
1b6h	refined	7.823908740944319	507	refined
1b6j	np	7.920818753952375	2452	refined
1b6k	np	8.744727494896694	2452	refined
1b6l	np	8.301029995663981	2452	refined
1b6m	np	8.397940008672037	2452	general
1b6p	np	8.522878745280337	2452	general
1b74	kikd	1.3010299956639813	1329	general
1b7h	refined	8.022276394711152	507	refined
1b8n	refined	10.522878745280336	1321	refined
1b8o	refined	10.638272163982409	1321	refined
1b8y	refined	7.853871964321762	1756	refined
1b9j	refined	5.958607314841775	507	refined
1b9s	ic50	3.175874166083451	629	general
1b9t	ic50	5.096910013008056	629	general
1b9v	ic50	3.649751981665837	629	general
1ba8	np	9.0	2236	general
1bai	refined	7.698970004336019	2453	refined
1bap	kikd	6.853871964321762	1820	general
1bb0	np	8.356547323513812	2236	general
1bbz	kikd	5.823908740944319	2661	general
1bcd	np	8.698970004336019	1104	refined
1bcj	kikd	3.6989700043360174	2731	general
1bcu	test	3.28	2236	
1bdl	np	5.85078088734462	2452	general
1bdq	np	6.337242168318426	2452	refined
1bdr	np	6.6777807052660805	2452	general
1bgo	kikd	8.455931955649724	1500	general
1bgq	np	8.568636235841012	1197	refined
1bhf	refined	4.376750709602099	2643	refined
1bhx	refined	6.838631997765026	2235	refined
1bil	ic50	9.30102999566398	1006	general
1bim	ic50	8.920818753952375	1006	general
1bio	ic50	5.537602002101044	2238	general
1biw	ic50	6.982966660701219	1756	general
1bji	ic50	8.698970004336019	632	general
1bjr	kikd	7.67778070526608	755	general
1bju	np	4.795880017344075	2252	refined
1bjv	np	5.537602002101044	2252	refined
1bkj	kikd	6.769551078621726	2917	general
1bkm	ic50	5.7447274948966935	2644	general
1bky	kikd	3.8416375079047502	361	general
1bl4	ic50	8.744727494896694	2045	general
1bl6	np	6.795880017344075	2515	general
1bl7	np	7.721246399047171	2515	general
1bm2	ic50	6.958607314841775	2612	general
1bm6	kikd	7.886056647693163	1756	general
1bm7	refined	7.522878745280337	2111	refined
1bma	refined	4.585026652029182	2229	refined
1bmb	ic50	6.154901959985743	2612	general
1bmk	np	7.602059991327962	2515	general
1bmm	np	7.102372908709558	2236	general
1bmn	np	8.443697499232712	2236	general
1bmq	ic50	7.42021640338319	1784	general
1bn1	np	9.337242168318426	1104	refined
1bn3	np	9.886056647693165	1104	refined
1bn4	np	9.309803919971486	1104	refined
1bnm	np	10.0	1104	general
1bnn	np	10.0	1104	refined
1bnq	np	9.494850021680094	1104	refined
1bnt	np	9.795880017344077	1104	refined
1bnu	np	9.69897000433602	1104	refined
1bnv	np	8.769551078621726	1104	refined
1bnw	np	9.080921907623926	1104	refined
1bo5	kikd	3.6020599913279625	128	general
1bp0	refined	5.3979400086720375	1095	refined
1bq3	kikd	5.3979400086720375	2990	general
1bq4	refined	5.221848749616356	2990	refined
1bqm	np	7.346787486224656	1936	general
1bqn	np	6.221848749616356	1936	general
1bqo	ic50	7.735182176990463	1756	general
1br5	kikd	2.6989700043360187	1280	general
1br6	refined	3.221848749616356	1280	refined
1br8	kikd	4.7447274948966935	936	general
1bra	np	1.8239087409443189	2252	general
1bsk	kikd	4.119186407719209	1899	general
1bt6	kikd	5.698970004336019	2426	general
1btn	kikd	4.3979400086720375	2715	general
1bty	np	4.735182176990463	2252	refined
1bug	ic50	4.366531544420413	549	general
1bux	kikd	4.853871964321762	1715	general
1bv7	np	10.30102999566398	2452	refined
1bv9	np	9.958607314841776	2452	refined
1bwa	np	8.602059991327963	2452	refined
1bwb	np	8.42021640338319	2452	refined
1bwn	kikd	7.060480747381382	984	general
1bxl	kikd	6.468521082957745	2313	general
1bxo	refined	10.0	1001	refined
1bxq	refined	7.376750709602099	1001	refined
1bzc	test	4.92	2580	
1bzf	kikd	8.301029995663981	2764	general
1bzh	np	6.769551078621726	2580	general
1bzj	np	4.657577319177793	2580	refined
1bzs	ic50	8.0	1757	general
1c12	kikd	8.721246399047171	2079	general
1c1r	np	7.628932137728263	2252	refined
1c1u	np	8.2518119729938	2236	refined
1c1v	np	7.638272163982407	2236	refined
1c29	ic50	6.326058001365912	939	general
1c2t	kikd	6.585026652029182	1727	general
1c3b	np	7.568636235841012	1182	general
1c3e	kikd	6.585026652029182	1727	refined
1c3i	ic50	5.795880017344075	1756	general
1c3r	ic50	6.3979400086720375	2310	general
1c3x	refined	3.677780705266081	1318	refined
1c4u	np	10.366531544420411	2236	refined
1c4v	np	10.795880017344077	2236	general
1c4y	np	7.920818753952375	2236	general
1c50	np	6.476253533188435	21	general
1c5c	refined	6.958607314841775	2089	refined
1c5f	ic50	6.065501548756432	1704	general
1c5n	np	4.698970004336019	2236	refined
1c5o	np	3.494850021680094	2236	refined
1c5p	np	4.6777807052660805	2252	refined
1c5q	np	6.356547323513812	2252	refined
1c5s	np	6.0	2252	refined
1c5t	np	4.096910013008056	2252	refined
1c5x	np	6.6777807052660805	2231	refined
1c5y	np	4.200659450546418	2231	refined
1c5z	test	4.01	2231	
1c6y	np	9.508638306165729	2452	general
1c70	np	10.30102999566398	2452	refined
1c7e	kikd	6.296708621881338	1699	general
1c7f	kikd	9.522878745280336	1699	general
1c83	np	4.853871964321762	2580	refined
1c84	np	5.00436480540245	2580	refined
1c85	np	4.638272163982407	2580	general
1c86	np	4.698970004336019	2580	refined
1c87	np	4.200659450546418	2580	refined
1c88	np	5.292429823902063	2580	refined
1c8k	np	6.0	21	general
1c8l	np	8.161150909262744	21	general
1c9d	ic50	6.30189945437661	939	general
1ca8	np	9.494850021680094	2236	general
1caq	kikd	7.721246399047171	1756	general
1cbr	kikd	9.397940008672036	2125	general
1cbx	refined	6.346787486224656	402	refined
1ce5	np	4.735182176990463	2252	general
1cea	kikd	4.958607314841775	2344	general
1ceb	refined	6.0	2344	refined
1cet	refined	2.886056647693163	1332	refined
1cgl	refined	6.8696662315049934	1758	refined
1ch8	kikd	7.0	567	refined
1ci7	kikd	7.045757490560675	1092	general
1cil	np	9.431798275933003	1104	general
1cim	np	8.818156412055227	1104	general
1cin	np	8.72584215073632	1104	general
1ciz	refined	7.443697499232712	1756	refined
1cj1	ic50	8.795880017344075	2612	general
1cka	kikd	5.721246399047171	2659	general
1ckb	kikd	5.2839966563652006	2659	general
1clu	kikd	8.267606240177031	1988	general
1cnw	np	7.721246399047171	1104	refined
1cnx	np	7.366531544420413	1104	refined
1cny	np	7.853871964321762	1104	refined
1cp6	kikd	5.0	1068	general
1cpi	np	7.4089353929735005	2452	general
1cps	refined	6.657577319177793	402	refined
1cqp	ic50	5.619788758288394	1925	general
1cr6	kikd	8.508638306165727	1473	general
1cs4	ic50	5.568636235841012	1062	general
1csh	kikd	7.552841968657781	451	general
1csi	kikd	8.795880017344075	451	general
1csr	kikd	7.376750709602099	451	general
1css	kikd	6.096910013008056	451	general
1ct8	kikd	6.522878745280337	2079	refined
1ctr	kikd	6.0	2421	general
1ctt	refined	4.522878745280337	2874	refined
1ctu	refined	11.920818753952377	2874	refined
1cw2	ic50	6.145693958198919	939	general
1cwb	kikd	7.886056647693163	1707	general
1cwc	ic50	7.795880017344075	1707	general
1cx9	ic50	6.7495799976911055	939	general
1cyn	kikd	7.67778070526608	1709	general
1czc	kikd	2.8239087409443187	788	general
1cze	kikd	2.619788758288394	788	general
1czk	kikd	8.823908740944319	1700	general
1czl	kikd	9.148741651280924	1700	general
1czo	kikd	4.552841968657781	1700	general
1czq	ic50	4.537602002101044	2029	general
1czr	kikd	9.0	1700	general
1d04	kikd	4.585026652029182	1700	general
1d09	refined	7.568636235841012	789	refined
1d1p	kikd	3.6020599913279625	1639	general
1d2e	refined	6.0	686	refined
1d2s	kikd	9.739928612014925	1801	general
1d3d	np	9.09151498112135	2236	refined
1d3p	np	7.387216143280264	2236	refined
1d3q	np	6.537602002101044	2236	general
1d3v	kikd	6.958607314841775	1447	general
1d4h	np	10.0	2452	refined
1d4i	np	8.853871964321762	2452	refined
1d4j	np	8.356547323513812	2452	refined
1d4k	np	9.221848749616356	2452	refined
1d4l	np	8.769551078621726	2452	refined
1d4p	np	6.301029995663981	2236	refined
1d4t	kikd	6.187086643357144	2591	general
1d4w	kikd	6.920818753952375	2591	general
1d4y	np	11.096910013008056	2452	refined
1d5j	ic50	9.154901959985745	1756	general
1d5r	kikd	1.8239087409443189	3121	general
1d6n	kikd	4.501689446210399	2743	general
1d6s	kikd	4.107905397309519	829	general
1d6v	refined	6.173925197299173	2079	refined
1d6w	np	5.958607314841775	2236	refined
1d7i	refined	3.6020599913279625	2045	refined
1d7j	refined	3.3010299956639813	2045	refined
1d7x	ic50	8.522878745280337	1756	general
1d8e	ic50	6.6020599913279625	350	general
1d8f	ic50	7.744727494896693	1756	general
1d8m	ic50	8.508638306165727	1756	general
1d9i	np	9.10790539730952	2236	refined
1dar	refined	4.958607314841775	679	refined
1db1	kikd	9.259637310505756	1560	general
1db4	ic50	7.244125144327507	2362	general
1db5	ic50	6.818156412055227	2362	general
1dbb	kikd	9.0	2079	general
1dbj	ic50	7.67778070526608	2079	general
1dbk	ic50	8.096910013008056	2079	general
1ddm	kikd	5.769551078621726	1940	general
1det	refined	4.301029995663981	485	refined
1df8	refined	9.69897000433602	2208	refined
1dfo	kikd	6.698970004336019	484	refined
1dg9	kikd	2.744727494896694	1638	general
1dgm	refined	5.050609993355087	822	refined
1dhi	refined	7.259637310505756	2761	refined
1dhj	refined	6.55129368009492	2761	refined
1di8	np	6.0	2523	general
1di9	np	5.301029995663981	2515	general
1dif	np	10.657577319177792	2452	refined
1dis	kikd	11.0	2764	general
1dkd	kikd	5.698970004336019	1336	general
1dl7	refined	6.494850021680094	2082	refined
1dm2	np	7.154901959985743	2523	general
1dmb	kikd	5.7447274948966935	2324	general
1dmp	np	9.55284196865778	2452	refined
1doj	np	8.958607314841775	2236	general
1dpu	kikd	6.0	2718	general
1dqx	kikd	11.045757490560677	1451	general
1drj	refined	7.397940008672037	1825	refined
1drk	refined	6.823908740944319	1825	refined
1drv	refined	6.537602002101044	2809	refined
1dth	ic50	8.221848749616356	1765	general
1dtq	np	8.221848749616356	1936	general
1dtt	np	8.301029995663981	1936	general
1dub	kikd	5.795880017344075	841	general
1dud	refined	4.823908740944319	2429	refined
1duv	refined	11.795880017344077	793	refined
1dva	kikd	8.070581074285707	2248	general
1dwc	np	7.4089353929735005	2236	general
1dwd	np	8.18045606445813	2236	general
1dx6	np	6.185752404268079	161	general
1dxp	kikd	7.568636235841012	1989	general
1dy4	refined	4.356547323513812	122	refined
1dzj	ic50	5.886056647693163	2143	general
1dzk	refined	6.096910013008056	2143	refined
1dzm	ic50	5.4089353929735005	2143	general
1dzp	ic50	5.443697499232712	2143	general
1e00	ic50	6.096910013008056	2143	general
1e02	ic50	6.154901959985743	2143	general
1e03	kikd	9.397940008672036	936	general
1e06	ic50	5.6020599913279625	2143	general
1e1v	np	4.920818753952375	2523	refined
1e1x	np	5.886056647693163	2523	refined
1e1y	np	5.6020599913279625	21	general
1e2k	refined	4.943095148663527	710	refined
1e2l	refined	4.288192770958809	710	refined
1e34	kikd	2.87942606879415	2229	general
1e37	kikd	3.6989700043360174	2229	general
1e3g	np	9.00436480540245	1563	refined
1e3v	refined	4.33970383972927	2155	refined
1e4h	refined	8.4089353929735	2111	refined
1e55	kikd	4.119186407719209	600	general
1e5a	kikd	7.638272163982407	2111	general
1e5j	refined	4.0	712	refined
1e66	test	9.89	161	
1e6q	refined	3.154901959985743	601	refined
1e6s	refined	3.221848749616356	601	refined
1e72	kikd	3.221848749616356	601	general
1e8h	kikd	5.6777807052660805	3158	general
1e9h	np	7.455931955649724	2523	general
1eas	kikd	7.744727494896693	2229	general
1eat	kikd	7.823908740944319	2229	general
1eb1	np	10.431798275933003	2236	general
1eb2	np	6.008773924307505	2252	refined
1ebg	kikd	10.82390874094432	441	general
1ebw	np	9.045757490560677	2452	refined
1eby	test	9.7	2452	
1ebz	np	9.397940008672036	2452	refined
1ec0	np	8.494850021680094	2452	refined
1ec1	np	8.920818753952375	2452	refined
1ec2	np	10.0	2452	refined
1ec3	np	9.036212172654444	2452	refined
1ec9	refined	3.096910013008056	545	refined
1ecq	refined	3.0	545	refined
1ecv	np	4.853871964321762	2580	refined
1eed	np	4.790484985457369	1000	general
1eef	ic50	2.920818753952376	1712	general
1eei	ic50	3.154901959985743	1712	general
1efi	ic50	1.9208187539523751	1712	general
1efy	refined	8.221848749616356	1114	refined
1egh	refined	5.698970004336019	895	refined
1eix	kikd	11.05551732784983	1452	general
1ej4	kikd	7.301029995663981	1933	general
1ejn	np	5.619788758288394	2231	refined
1ek1	kikd	7.769551078621726	1473	general
1ek2	kikd	8.200659450546418	1473	general
1ekb	kikd	6.0	2245	general
1ela	refined	6.356547323513812	2229	refined
1elb	refined	7.154901959985743	2229	refined
1elc	refined	6.657577319177793	2229	refined
1eld	refined	6.698970004336019	2229	refined
1ele	refined	6.853871964321762	2229	refined
1elr	refined	4.958607314841775	1790	refined
1els	kikd	10.82390874094432	441	general
1em6	np	8.221848749616356	21	general
1enu	np	5.080921907623926	439	refined
1eoc	refined	6.045757490560675	730	refined
1eoj	np	13.769551078621726	2236	general
1eol	np	13.42021640338319	2236	general
1eou	np	7.443697499232712	1104	general
1epo	np	7.958607314841775	1000	refined
1epp	np	7.161150909262744	1000	general
1erb	refined	8.096910013008056	1818	refined
1ero	kikd	8.229147988357855	1392	general
1erq	kikd	7.886056647693163	1392	general
1err	np	8.113509274827518	1568	general
1esz	kikd	6.522878745280337	1236	general
1ets	np	8.221848749616356	2236	general
1ett	np	5.886056647693163	2236	general
1etz	kikd	7.236572006437063	2079	general
1eub	kikd	8.721246399047171	1755	general
1eve	np	8.244125144327509	161	general
1evh	kikd	3.220403508742176	707	general
1ew8	refined	2.259637310505756	198	refined
1ew9	refined	3.221848749616356	198	refined
1ewj	kikd	7.494850021680094	2108	general
1ex8	refined	6.327902142064283	2019	refined
1exv	np	7.346787486224656	21	general
1exw	kikd	3.903089986991944	2993	general
1ez9	refined	5.096910013008056	2324	refined
1ezf	ic50	7.251811972993799	1514	general
1ezq	np	9.045757490560677	2247	refined
1f0q	ic50	6.0	2499	general
1f0r	np	7.657577319177793	2247	refined
1f0s	np	7.744727494896693	2247	refined
1f0t	np	6.0	2252	refined
1f0u	np	7.161150909262744	2252	refined
1f1j	kikd	8.795880017344075	1780	general
1f28	kikd	7.795880017344075	1092	general
1f2o	kikd	1.9065783148377649	1069	general
1f2p	kikd	1.8961962790440432	1069	general
1f3e	np	6.698970004336019	439	refined
1f3j	kikd	5.221848749616356	2101	general
1f40	kikd	6.0	2045	general
1f47	kikd	4.665546248849069	1674	general
1f4e	refined	2.958607314841775	1094	refined
1f4f	refined	4.619788758288394	1094	refined
1f4g	refined	6.481486060122112	1094	refined
1f4x	refined	5.585026652029182	2079	refined
1f4y	kikd	6.080921907623926	2079	general
1f57	refined	5.638272163982407	402	refined
1f5k	np	3.744727494896694	2231	refined
1f5l	np	5.275724130399211	2231	refined
1f73	refined	2.3872161432802645	1632	refined
1f74	refined	3.0457574905606752	1632	refined
1f7b	kikd	4.6020599913279625	1632	general
1f8a	kikd	5.0	2266	general
1f8b	refined	5.3979400086720375	632	refined
1f8c	refined	7.397940008672037	632	refined
1f8d	refined	3.397940008672037	632	refined
1f8e	refined	4.823908740944319	632	refined
1f90	kikd	7.924453038607469	2079	general
1f92	np	6.1938200260161125	2231	general
1f9e	kikd	8.698970004336019	1777	general
1f9g	kikd	1.2757241303992108	3150	general
1fao	refined	7.366531544420414	2691	refined
1fax	np	7.387216143280264	2247	general
1fbm	kikd	6.221848749616356	2027	general
1fch	refined	7.154901959985743	415	refined
1fcx	refined	7.1938200260161125	1555	refined
1fcy	refined	8.522878745280337	1555	refined
1fcz	refined	9.221848749616356	1555	refined
1fd0	refined	8.397940008672037	1555	refined
1fd7	ic50	1.853871964321762	1712	general
1fdq	kikd	7.272458742971444	2123	general
1fe3	kikd	7.330683119433887	2123	general
1ff1	kikd	4.920818753952375	2416	general
1fgi	ic50	5.0	2629	general
1fh7	refined	5.236572006437063	781	refined
1fh8	refined	6.886056647693163	781	refined
1fh9	refined	6.431798275933005	781	refined
1fhd	refined	6.823908740944319	781	refined
1fhr	kikd	4.0	2811	general
1fig	kikd	6.221848749616356	2079	general
1fiv	refined	6.585026652029182	2450	refined
1fj4	kikd	4.585026652029182	472	general
1fjs	np	9.958607314841776	2247	refined
1fkb	refined	9.69897000433602	2045	refined
1fkf	refined	9.397940008672036	2045	refined
1fkg	refined	8.0	2045	refined
1fkh	refined	8.154901959985743	2045	refined
1fki	refined	7.0	2045	refined
1fkn	np	8.795880017344075	995	refined
1fkw	refined	5.045757490560675	637	refined
1fl3	refined	6.795880017344075	2079	refined
1fl6	kikd	7.431798275933005	2089	general
1flm	kikd	9.366531544420411	2113	general
1flr	refined	10.0	2079	refined
1fls	ic50	7.481486060122112	1755	general
1fm9	np	9.0	1551	refined
1fmb	kikd	10.0	2454	general
1fo0	refined	5.585026652029182	2103	refined
1fo2	ic50	4.698970004336019	272	general
1fo3	ic50	6.698970004336019	272	general
1fpc	np	7.0	2236	refined
1fpi	ic50	5.886056647693163	771	general
1fpp	kikd	8.0	350	general
1fpy	kikd	6.0	289	general
1fq4	kikd	6.400116927926312	1008	general
1fq5	refined	8.397940008672037	1008	refined
1fq6	kikd	7.863279432843593	1008	general
1fq7	kikd	5.427128397799519	1008	general
1fq8	kikd	6.026872146400302	1008	general
1fsg	ic50	5.022276394711152	2742	general
1fsw	np	6.494850021680094	1182	general
1fsy	np	6.823908740944319	1182	general
1ft4	ic50	6.568636235841012	2173	general
1ft7	refined	5.180456064458132	1068	refined
1fta	ic50	6.356547323513812	771	general
1ftj	np	6.085656842880559	1842	general
1ftk	np	4.838631997765026	1842	general
1ftl	np	6.000869458712629	1842	general
1ftm	np	7.605548319173783	1842	refined
1fv0	refined	5.928117992693875	2364	refined
1fv9	np	5.0	2231	general
1fvt	np	7.221848749616356	2523	general
1fvv	np	8.0	2523	general
1fw0	np	5.432973633840939	1842	general
1fwe	kikd	5.6020599913279625	3087	general
1fwu	kikd	3.6989700043360174	2789	general
1fwv	kikd	3.721246399047171	2789	general
1fyr	ic50	5.619788758288394	2612	general
1fzj	refined	8.096910013008056	2103	refined
1fzk	refined	8.397940008672037	2103	refined
1fzm	refined	7.698970004336019	2103	refined
1fzo	refined	7.886056647693163	2103	refined
1fzq	refined	7.619788758288394	1979	refined
1g05	ic50	8.508638306165727	1756	general
1g1d	np	9.443697499232712	1104	refined
1g1e	kikd	7.537602002101044	2723	general
1g27	ic50	8.154901959985743	1899	general
1g2a	ic50	8.0	1899	general
1g2k	test	7.96	2452	
1g2l	np	7.244125144327507	2247	refined
1g2m	np	7.397940008672037	2247	general
1g2o	refined	10.55284196865778	1317	refined
1g30	np	6.853871964321762	2236	refined
1g32	np	6.107905397309519	2236	refined
1g35	np	8.136677139879545	2452	refined
1g36	np	7.173925197299173	2252	refined
1g37	np	10.0	2236	general
1g3b	np	5.7447274948966935	2252	general
1g3c	np	5.795880017344075	2252	general
1g3d	np	5.552841968657781	2252	refined
1g3e	np	5.376750709602099	2252	refined
1g3f	kikd	6.366531544420414	2442	general
1g3m	ic50	10.0	870	general
1g42	kikd	3.0132282657337552	1470	general
1g45	np	8.638272163982407	1104	refined
1g46	np	8.795880017344075	1104	refined
1g48	np	8.4089353929735	1104	refined
1g49	ic50	7.795880017344075	1756	general
1g4j	np	8.698970004336019	1104	refined
1g4k	ic50	5.698970004336019	1756	general
1g4o	np	8.2518119729938	1104	refined
1g50	np	6.275724130399211	1568	general
1g52	np	9.537602002101044	1104	refined
1g53	np	9.040958607678906	1104	refined
1g54	np	8.823908740944319	1104	refined
1g5f	kikd	2.636388020107856	1470	general
1g5s	np	7.318758762624412	2523	general
1g6g	kikd	6.275724130399211	2224	general
1g6r	kikd	4.267606240177031	2103	general
1g6s	kikd	5.154901959985743	621	general
1g74	refined	6.522878745280337	2123	refined
1g7f	np	5.468521082957745	2580	refined
1g7g	np	6.6020599913279625	2580	refined
1g7p	kikd	7.045757490560675	2103	general
1g7q	refined	6.057000406633959	2103	refined
1g7v	refined	6.3979400086720375	1279	refined
1g85	refined	5.481486060122113	2144	refined
1g98	refined	5.698970004336019	212	refined
1g9a	ic50	5.301029995663981	429	general
1g9b	ic50	5.301029995663981	429	general
1g9c	ic50	5.301029995663981	429	general
1g9d	ic50	5.301029995663981	429	general
1g9r	kikd	5.698970004336019	3169	refined
1g9s	kikd	3.607303046740334	2748	general
1g9t	kikd	3.2790142558462607	2748	general
1ga8	kikd	1.7958800173440752	3169	general
1ga9	np	7.080921907623926	1182	general
1gaf	refined	8.0	2089	refined
1gag	kikd	6.1249387366083	2637	general
1gah	kikd	12.0	279	general
1gai	refined	8.0	279	refined
1gar	refined	10.0	1727	refined
1gbq	kikd	2.4559319556497243	2663	general
1gbt	np	2.0	2252	general
1gca	kikd	6.698970004336019	1829	general
1gcz	kikd	5.130768280269024	2050	refined
1gfw	kikd	7.823908740944319	1781	general
1gfy	np	5.079876673709276	2580	refined
1gfz	np	4.0	21	general
1ggd	kikd	5.795880017344075	2250	general
1ggn	np	5.508638306165727	21	general
1ghv	np	4.346787486224656	2236	refined
