3ehx_A -2.292_-4.242_-5.148
6q54_AB -8.999_27.202_-20.623
1jfh_ABCD -6.926_42.639_19.819
4yh4_A 10.881_-6.345_-2.844
3ezv_A 0.752_28.435_9.636
6f9u_AB -13.981_-6.790_20.421
3tic_ABCDEFGHIJK 10.428_-26.719_49.941
3d20_AB 13.255_20.602_17.183
6dm8_AI -199.069_-4.356_25.797
4or4_A -8.592_21.584_-43.410
4mlt_A 15.843_2.700_15.115
6f05_CI -44.214_41.952_-33.980
2yiv_X 59.166_5.678_34.412
3d7h_ABCDE 19.855_46.906_43.610
4ppb_A -13.937_-24.386_56.347
2d1o_A 29.192_7.028_14.488
1add_A 5.514_19.197_37.330
1o47_A 20.011_21.761_22.519
4f9u_AC -52.882_21.566_-33.911
5mjb_A -0.919_47.339_-11.603
5ajp_A 3.888_9.238_7.598
1ibg_HL 4.645_11.427_41.406
2kbs_A -0.562_-2.059_9.200
3fui_A 10.654_-1.603_0.467
6nti_A 44.485_-6.605_176.432
3re4_A 8.857_2.112_26.013
5u7i_A 9.082_-6.694_-5.359
4q6f_A -2.073_-18.613_-10.990
6e1z_A 3.000_-2.583_-6.703
1a46_HIL 16.029_-13.852_20.707
4jfd_ABDE 51.414_-2.263_29.891
3rz0_B 17.874_4.248_14.857
2aoj_AB 17.432_21.077_16.684
1eas_A -12.017_20.255_38.854
4ufh_ABCD 77.830_88.258_19.019
5a6x_ABCD -4.566_7.950_8.965
1rdj_12 3.125_46.376_0.910
4sga_E -17.889_24.739_22.936
4kv9_AB -0.702_-19.182_25.665
5xn3_A 1.045_-12.505_32.600
4kab_A -8.565_26.330_-41.587
2rfy_AE -0.673_-6.104_76.486
1hn4_AB 18.394_15.457_15.976
4g0c_A -4.994_3.517_14.810
4yyl_A -33.346_0.806_16.500
2ydk_A 3.304_74.241_11.766
1zd5_A -16.809_-8.458_64.125
3zjt_AB 26.969_28.626_31.340
6ghp_AP -18.006_-18.939_-1.817
5ost_A -30.167_-13.506_-18.712
6e7j_AB 18.514_23.197_18.190
3ekw_AB 19.914_-0.155_18.040
4eh3_A -2.532_0.007_-21.259
1gu3_AB -15.935_29.321_17.800
3tct_AB 0.200_-0.194_-5.399
6f8g_ABH 0.608_-21.623_-16.946
4zyz_A -22.651_18.268_18.732
6q37_ABC 35.474_86.777_69.204
1mui_AB -9.530_15.923_28.404
5swh_A -7.221_-37.850_6.437
2mip_ABG 14.303_43.290_-5.273
5yjm_A -9.738_-16.987_-6.792
5f2u_A -3.013_15.867_9.127
3wqh_AB 46.309_50.006_33.188
3qxc_A 13.503_-30.715_-22.375
1c70_AB 12.916_22.242_5.293
2a3i_A 40.740_78.327_4.033
1q9m_ABCD 21.615_-4.663_32.075
4ge6_A 16.347_-3.886_-3.727
3zev_B -13.831_-18.001_-37.579
1jgl_HL 40.690_25.003_65.629
4og7_A -12.511_13.007_-11.804
5odu_ACFG 4.086_-26.793_-59.078
3ips_ABCD 21.636_-15.801_18.425
5jop_ADE -24.296_70.026_45.293
5fsy_A 27.273_5.109_10.773
3gwv_A 26.520_20.985_23.876
1nwl_A 55.948_32.894_35.159
5w4v_AB 1.930_14.665_-19.307
2q2a_A 2.098_-0.999_13.449
2wxm_A -8.116_0.812_24.366
3nq3_A 12.811_-3.236_-0.324
5xii_AC 12.515_-0.804_-9.159
6aqq_A 18.166_-51.477_21.364
5ep7_A -15.699_-9.602_22.790
3jqg_ABCD 7.575_-12.294_15.023
2viz_A 30.093_2.502_33.841
5y86_A 16.340_31.852_18.931
2asu_B 61.415_54.109_10.613
1urg_AB -33.771_-0.552_40.516
3o1d_A 21.493_38.890_29.136
2v12_CO 8.525_47.382_69.173
5hog_ABCE -1.060_41.744_-11.233
1fyr_ABJ 25.443_8.272_70.695
1t5a_ABCD 71.255_0.785_72.515
6dlx_AB 45.287_21.639_44.678
5fwj_A 20.104_61.552_-3.990
2wi5_A 33.801_9.619_24.723
4kbi_A 5.944_42.311_50.909
2lty_A 5.636_-0.610_0.278
6erv_A 6.543_-28.283_29.458
1iiq_AB 10.932_23.552_5.545
6nji_A -21.984_-14.629_100.279
3zrl_ABXY 104.151_24.765_-11.359
4uoh_ABC 8.637_-14.980_4.835
3dgo_A -25.878_15.322_-19.916
3itz_A 2.521_31.213_29.762
4o0a_A 0.795_9.657_1.003
1lke_A 8.964_-25.543_37.400
5aqj_EF 151.599_-4.813_55.385
6q7v_AB -33.079_-24.745_3.665
1qtn_AB -9.000_33.191_43.344
5tg1_A 74.924_-52.106_132.533
6qyp_A 6.412_0.556_-3.922
2hoc_A -3.607_5.421_14.704
4j21_A -11.827_3.212_10.111
3vid_A -1.531_18.716_-29.617
6rj6_AB 18.865_-10.463_-1.842
6g2a_A -14.917_1.002_20.125
2bks_B 127.415_18.507_41.444
5w2s_A 21.372_-21.895_-40.591
4nh7_A 16.508_10.232_16.745
3ebo_A 38.293_35.498_29.746
2gni_AI 7.914_8.884_3.893
5b4w_A 87.873_-36.699_64.906
2q3z_A -1.100_-3.300_18.021
1lqd_B 7.525_6.754_23.063
6ajh_A 35.124_3.686_-20.557
1x8r_A 57.455_9.801_28.484
6r4v_ABCDEF 97.287_34.163_20.219
5vtb_A 12.255_1.245_15.506
4xoe_AB -10.430_-58.413_-8.094
4z7q_ABHIJKL 54.012_111.515_73.472
1ql9_A 10.835_49.289_59.843
1b6h_A 2.906_18.581_14.346
3qo2_A 39.526_4.941_-11.709
3wuu_AB -12.478_35.335_-26.490
1k1p_A 42.459_23.397_54.129
4cpr_AB 12.468_22.512_5.874
4l0t_AC 6.448_37.174_11.962
2vpp_AB 59.610_18.876_10.929
6dh8_AB 71.807_113.362_17.277
5div_A 31.374_-26.400_-3.034
4in9_A 111.445_113.418_-12.242
3t4n_ABC -26.748_68.295_-2.870
2hob_A 3.431_-17.982_106.523
6ohd_A 2.245_-0.062_-18.830
1dif_AB 5.106_-1.659_14.405
4pyx_A -4.357_1.827_12.816
5hbj_AB -4.816_12.761_-11.146
4x3h_A -15.463_7.156_11.432
6o3w_A -30.209_25.750_-30.271
3wdc_A -23.165_13.033_-5.201
3e0p_B 15.439_38.240_2.558
3buo_B -7.493_-5.655_-0.784
5qai_A 96.097_249.712_5.974
6fe0_AB -29.315_13.032_-90.538
4nzo_A -7.642_17.965_15.374
5uwl_A 49.283_-24.429_15.291
2gbi_AB 15.680_39.072_-80.625
4hod_A -17.809_-12.066_20.269
2e27_HL 0.955_-0.800_22.305
2r3m_A 1.149_27.754_8.484
2pzi_A 22.132_-10.344_-4.258
4cs9_ABCE 101.226_26.592_169.805
2v2q_A 16.760_-11.072_19.528
2p0x_A 1.197_-2.824_5.806
6ios_A -11.996_11.301_-11.739
3ap7_AB 19.729_23.215_43.090
6hk6_AB -71.873_-21.249_81.512
2y1w_ABCD 27.885_-30.061_-79.574
1x6u_A 5.621_-10.404_39.231
4cpz_ABCDIJKL -3.737_46.790_53.394
2jsd_A 6.668_-5.293_5.002
4i0s_A 1.322_1.200_13.805
4hn2_A 0.362_20.649_11.504
5t1s_A 30.074_8.059_-6.635
4ydf_AB 58.570_33.957_25.292
6duk_AB 41.929_93.087_-61.273
3gnw_A 28.311_6.773_36.160
4ahv_AB -16.283_18.282_1.798
2j6m_A -51.313_-0.693_-18.625
1db5_A 58.864_29.818_46.524
4ps1_A -45.070_19.164_20.294
6cz4_A -7.819_14.996_-29.271
2xgo_A 26.511_7.581_-0.409
3rak_A 92.227_80.206_-47.913
4i9z_A -43.550_15.600_43.803
2ycs_A -36.332_33.708_10.879
1s19_A 11.444_23.232_34.230
5uxm_A -2.939_-10.479_-46.488
1yfz_AB 45.004_36.842_62.957
1lhf_HIL 15.763_-13.575_22.657
3g2h_A 34.045_22.611_28.225
6d5e_ABC 35.453_29.009_22.817
4bny_ABCD 7.805_-0.878_34.408
3drr_AB 8.487_11.666_16.557
3aw0_A -24.406_-38.037_4.153
3eft_A -2.332_7.181_13.545
4k1b_A -41.472_-2.253_-0.187
6qqw_AB -21.868_20.894_-10.621
4psq_B 26.322_-1.082_-9.339
3l1s_A 38.041_34.551_53.495
5q0d_A 41.641_-20.001_29.325
1zyj_A 53.323_36.000_-25.048
3zs1_BDF 35.597_-6.465_33.495
4u3f_ABCDEFGHIJNOPQRSTUVW 9.525_132.019_81.312
4erz_A 37.682_-11.301_29.490
6got_A -3.437_5.279_14.697
2wec_A 18.423_7.879_21.599
3r22_A -4.759_-30.476_4.709
5tzw_A 7.351_4.838_4.406
1xh7_A 13.655_10.077_-0.324
5abg_A 28.688_52.752_249.786
5tqg_HL 5.878_36.981_25.088
1qyg_HL 24.050_-2.676_24.767
6i11_A -0.186_-1.794_-11.883
5hg9_A -13.985_16.001_-26.001
5nra_A 94.338_31.763_23.006
6ipk_A -0.030_-33.303_0.135
4raq_ABCD 65.379_-4.185_-0.052
2ow1_A 26.102_8.112_50.319
2y36_HL 4.668_3.339_-44.295
2rm0_W 2.649_4.498_4.621
2jke_AB 24.516_42.693_68.661
1ibc_AB 34.038_65.883_8.621
2v7a_A -42.730_-51.541_-10.769
1pq3_ABC 69.777_54.102_-4.146
4bnz_ABCD -7.660_-1.768_-33.728
4tv3_A -18.266_9.949_28.046
1koj_AB 17.585_8.824_30.152
1msm_AB 16.514_23.053_17.346
6fyk_A -7.824_15.174_30.977
4z1e_A 17.880_7.460_13.404
2peh_A 16.943_-14.020_4.209
5bsk_ABCD 3.224_-28.919_-4.646
1gny_AB 29.412_4.350_4.190
5i56_AB -18.703_11.588_-27.152
4e9d_A 5.861_9.260_-12.092
2qbq_A 48.071_10.011_2.068
1vrt_AB 1.749_-36.766_22.405
6f8v_AB 29.634_228.115_148.235
5eva_A 7.383_-10.454_5.494
4hrd_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.932_-135.989_39.017
1npv_AB 12.319_24.074_5.667
4ool_A 27.644_2.115_16.711
5ek9_A 3.701_22.318_52.135
1m0n_A 16.851_51.142_17.938
3hkw_A 35.621_2.216_-19.476
3eys_HL 18.730_-13.520_-20.544
5dsx_A 33.588_-9.244_11.858
2pr9_A -32.302_50.810_27.583
3dc2_AB 25.926_80.734_48.891
6f4n_A -35.701_10.268_-46.935
1ai5_AB 12.276_36.180_34.858
5mod_A 4.108_140.911_353.230
4deu_AB 22.106_42.109_39.747
4k5m_A 12.615_11.650_14.539
4egh_A 1.090_9.320_-25.116
5ylt_A -40.600_-1.334_-13.546
4uru_RS 46.450_38.700_74.990
4xmb_A 4.265_0.690_-23.194
4xar_A 50.736_-25.548_8.957
3t0m_A 22.944_10.859_-9.400
4lko_AB 48.440_49.989_34.753
3vzd_ABCDEF 1.266_-33.369_-6.264
3uvo_A -17.299_-23.798_20.668
5gic_AC -14.478_3.163_-5.198
4qt1_A 2.709_-16.062_-5.368
5yr5_A 2.873_4.566_12.911
3hy9_A 15.296_3.700_-6.231
2y4a_A -1.992_0.057_34.944
3as0_A -4.175_7.158_21.513
1azm_A 34.230_16.140_-19.183
4ega_B -42.615_13.950_10.677
3c14_ABC -0.525_6.948_-24.234
3ebh_A 14.552_10.669_11.913
5flp_A -3.533_4.192_14.623
2cne_A 18.920_32.419_14.336
3dnj_B 19.128_-6.348_9.817
2hmu_AB 110.530_52.678_15.264
3i7g_AB -6.343_30.245_55.209
3uo5_A -4.274_-31.401_5.331
5xyy_A 1.325_-32.720_-30.378
2z92_AB -17.025_8.258_-32.159
5mnb_A -1.790_-14.765_-16.739
2hxq_A 20.690_-3.203_8.108
3vo3_A 25.663_-27.693_-13.641
3ho2_A 58.879_37.376_44.298
4qmv_A 29.762_0.011_72.973
3elm_AB -2.352_25.885_55.594
4zw8_A 89.926_120.222_132.318
6a8g_A 54.806_-43.183_22.783
3sdk_12ABCDEFGHIJKLMNOPQRSTUVWXYZ 10.760_-136.636_19.451
3bmn_ABCD 10.257_-10.908_14.533
6ps0_A 1.978_3.564_50.686
1xh4_A 5.623_19.839_30.710
1g53_A -3.305_5.138_14.570
1gj8_AB 10.504_6.757_22.784
5nkd_A -85.861_-17.110_5.573
5th4_A -5.363_2.204_15.032
5gvn_AB -25.215_31.594_61.081
6mwe_A -10.079_33.416_112.872
3hik_A -12.086_1.099_-5.772
2m3z_A -6.552_0.277_33.553
6f20_A 0.290_-8.541_-16.289
3my5_AB -5.236_21.027_-21.873
6hzc_A 50.421_-35.115_-8.216
3ma3_AB -20.363_37.715_0.048
1wdr_AB 1.647_30.435_22.534
5o4t_A 7.664_-11.462_4.574
5lyw_A 27.496_17.969_16.459
2h5i_AB -4.920_74.755_22.171
3o0u_A -19.356_2.730_-4.405
4jr0_ABD -6.233_9.495_32.005
4iva_A -14.922_-9.745_-11.182
3o0j_A -44.624_92.905_114.406
1d6s_AB 39.043_24.101_17.605
4x13_ABCDEFGH 15.458_22.631_8.260
6fnx_A -11.951_-5.428_1.494
6evq_AB 2.720_-4.852_-8.834
4mfe_ABCD -39.258_-6.545_11.246
4pr5_AB -0.318_-13.469_-36.390
2kp8_ABC 36.186_59.715_29.645
4ce1_A 16.118_-2.445_-5.148
6jaq_A -7.240_-30.651_-14.286
2w16_B -66.806_-41.074_21.289
6bw4_C -8.123_34.069_-22.697
2op9_AB -5.816_29.515_72.757
3rum_ABCDEF -20.394_-13.226_-5.511
5v8p_A 3.871_-44.387_-21.440
5tq7_A 12.054_-2.877_10.023
2f6y_A 44.019_13.325_17.940
1kti_A 33.868_22.392_27.855
5umz_BE 36.820_86.386_58.814
4mw4_B -42.262_13.815_10.294
4q6d_A -3.356_5.706_14.353
5ivn_A -16.371_-1.850_17.365
3uxk_AC 51.265_-52.353_17.763
4ezz_A 54.903_86.637_30.252
5a83_A -29.266_44.394_10.833
3f3d_A 26.281_32.235_19.876
5edd_A 15.592_-8.026_-0.857
2giu_A 23.120_9.647_115.017
1w12_U 24.089_19.384_54.832
4dzw_A -13.964_-16.960_-20.107
1g7v_A 6.394_107.630_76.252
6ny4_A -0.438_-16.040_-4.137
6rhe_A 45.046_-7.288_-11.646
4q4i_A 51.842_-16.398_34.702
4h85_A -9.092_-31.646_15.944
5wyr_AB -31.880_13.073_-28.064
3p3s_AB -0.092_0.355_-6.999
1ml1_AC 38.235_-3.227_-6.974
1mes_AB -9.435_16.369_27.930
3g0c_ABEFG 42.918_18.700_14.633
6mll_A 22.927_13.869_5.776
1a42_A -3.259_4.815_14.200
5dpa_A -7.007_-7.020_-2.532
3o75_AB -2.276_4.877_5.176
4m7b_A 6.342_11.665_-10.578
2i4z_AB 16.486_16.219_15.424
2ok1_A -10.076_11.415_21.410
4fem_AB 29.711_35.658_103.054
5sys_A 3.506_36.150_5.247
5h21_A -22.770_-7.015_77.962
4cwo_A 2.996_12.210_24.542
6o0k_A -15.216_2.300_-10.303
6rni_ABCD -26.698_-12.943_-36.727
4exz_A -4.817_1.147_2.832
3wff_A 3.151_5.911_58.811
3t1m_A 17.064_-9.313_0.542
4ezx_ABD -4.771_-29.192_-2.960
3new_A 23.735_16.323_10.479
5gid_AC -14.024_4.214_-5.696
5d29_ABCD 21.264_45.107_42.496
5hls_A 10.934_-6.587_-2.024
4uvc_AB -6.809_62.972_84.846
2wbd_ABCD 37.183_11.450_-21.785
4mrd_AB 7.215_-13.927_12.944
1zd2_P -17.430_-9.230_66.370
4bj8_EFGH 217.561_8.003_10.184
2qnx_AB 35.793_35.275_48.219
6pm9_ABFG 0.842_-36.577_-0.434
1o2h_A 43.942_-1.059_31.302
3t3g_A 33.439_22.361_27.760
2vcb_A 10.763_-14.584_-9.686
4u90_AE 11.951_109.188_106.371
3upi_A 25.153_44.139_45.065
6i8m_A 6.408_22.570_19.842
5v40_A 4.882_27.088_7.300
4eop_AB 7.052_22.345_21.950
4msl_ABC -32.373_37.975_15.590
6aao_A 76.523_13.335_13.674
1rlp_C 1.430_-1.000_-3.265
6i77_A -18.053_8.479_-1.334
3ovn_ABC 23.618_8.236_10.375
3c10_A -4.219_-7.387_11.708
3rkb_A -92.111_-45.204_-47.675
4qz4_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.147_-134.668_39.053
4ydg_AB 0.177_66.744_185.376
4g2w_A 27.443_-18.336_19.386
4z1j_A 17.363_7.212_14.154
4qt2_A 2.508_20.616_16.183
2bq6_AB 6.174_4.444_21.503
4ui8_BD -54.795_-43.240_17.525
4e3g_A 16.770_4.372_14.333
4o43_A 15.508_459.239_25.078
5uuu_A -57.751_33.786_-36.856
6bfw_A 13.413_-4.622_0.599
3kqy_AB 27.970_44.278_16.123
6ayq_AB 16.265_-7.630_31.028
1rwx_AB 34.330_65.259_8.521
1gjb_AB 10.058_6.023_23.228
4lq3_AR -34.110_-0.489_-35.364
1ek1_AB -43.489_-114.426_-30.100
4byj_A 2.345_-30.213_-4.857
2qa8_ABCD -5.584_-4.209_20.308
5een_B 32.072_100.568_32.175
3ivi_A 12.118_-2.625_49.460
3as1_A -4.767_7.320_21.476
5l2s_A 21.971_38.633_-9.302
3l7b_A 33.973_22.537_28.091
3ryv_B 17.152_3.180_14.866
1uwu_AB 74.434_20.666_87.912
3fq7_AB 6.492_19.808_-32.940
3u9c_A 46.011_-4.593_38.863
5auu_A -22.935_4.063_-8.965
6m8a_A 5.304_27.172_25.638
5fow_A 15.413_-8.970_2.410
1h4w_A 50.247_36.535_39.437
2jdy_ABCD -5.445_-17.048_-5.182
5uqx_A 31.066_3.983_-0.748
5lpl_A 99.302_-36.948_22.089
6h4x_A 5.323_-15.359_-51.580
5xva_A -6.243_-10.297_17.473
3r91_A 36.727_10.481_24.984
5wij_A -3.833_-8.746_3.839
6np5_A 109.892_-16.499_-7.801
4zyf_A -10.782_-10.261_-2.220
2qpj_A 25.195_50.195_29.785
4oti_A -15.434_8.887_-12.998
5one_A 33.735_-10.985_-3.079
5ylv_AB 49.651_-14.874_-6.905
5vwk_A 6.215_-16.434_-31.056
3wzp_ABCD 28.701_-6.414_30.068
3fee_AB 17.272_42.035_17.325
1o3d_A 43.448_-1.085_30.807
3vf8_A -0.815_0.139_-14.600
5nn5_ABCDEF -13.830_-31.595_96.523
5axi_B 28.173_8.356_3.818
1k6c_AB 5.145_-1.850_14.024
1kmv_A 11.586_23.705_34.137
2kzu_A 9.482_-7.673_2.762
5cgj_A 40.081_-20.440_-4.966
4wa9_B 9.289_155.359_36.024
5ggz_BD 18.287_-12.630_-49.092
3s3n_ABCD -38.112_31.593_-20.368
4ql8_A 27.960_1.567_4.021
2pj0_A 37.681_13.110_60.917
4k8a_AB -10.041_-26.395_42.995
5m34_A -40.634_-32.585_-19.191
4rqz_ABCEF 17.743_-10.717_13.004
3p9t_AB -19.300_-3.652_28.657
6qhr_A -26.172_-9.669_6.242
4ejf_ABCDFGH 25.398_-15.031_25.163
4w9k_ABC 11.674_54.010_90.667
5w0q_A 13.294_24.834_-5.580
5ksv_AB 9.480_54.809_26.092
1dmt_A 28.281_42.236_34.190
2evc_A -3.442_-0.958_8.854
5k1d_A -1.306_-1.686_21.226
6eq2_A -13.261_11.726_14.193
1lhu_A 22.836_11.466_32.479
4g55_A 49.731_-8.215_24.703
3kag_A -35.096_26.528_23.253
2vx9_A 22.860_72.568_69.633
4x3s_A -3.181_-9.410_14.188
5vlk_AY 1.751_-11.605_20.978
6bw5_AB 23.530_3.659_36.479
2xh5_AC 43.382_31.661_113.291
4gv1_A -19.929_4.360_11.319
5lbq_AB -60.329_-42.134_-33.974
1qwu_A 31.476_66.247_7.503
4nct_A 42.148_28.125_-11.645
2v57_AB 7.278_-5.272_6.677
3k0k_A -23.607_56.362_2.426
2zis_AB 68.783_78.218_0.111
3i4a_A 2.667_-20.235_-18.346
4hdf_AB 12.070_-19.984_-18.170
1yc5_AB 3.701_24.146_9.927
1hkm_AB 4.050_63.108_-0.982
4oc1_ABCDE 19.816_47.149_43.971
2yel_A -10.802_-7.192_2.404
3b92_A 0.290_59.576_85.114
2xwd_AC -35.277_-16.463_-0.115
1aqi_A 41.297_37.899_15.378
5xs8_AE -3.763_-0.873_2.373
4led_A 11.837_38.858_-1.602
6faf_A 12.350_35.484_16.034
6gy1_A 11.960_-5.754_-20.400
1bux_ABC 66.802_33.201_-1.597
3zhf_A 27.797_45.956_41.382
2xxr_AB -27.778_34.899_6.344
5x62_AB 15.719_41.379_201.397
5gty_ACEH -34.637_17.491_-60.302
3g1v_AB 8.896_1.506_3.333
4z83_EI -11.964_-10.389_6.312
2yog_A 15.668_8.205_1.156
2p8o_ABC 26.601_3.333_40.368
